cohort_index,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12
10,0.12184873949579832,0.13342776203966006,0.08159771754636234,0.052838857893009517,0.05580357142857143,0.05216989843028624,0.06612903225806452,0.07365269461077845,0.11413043478260869,0.1064659977703456,0.12601626016260162,0.07761868877166542,0.06978922716627635,0.07540106951871657,,,,,,,,,,
11,0.1134453781512605,0.08810198300283287,0.07475035663338088,0.052838857893009517,0.050595238095238096,0.048938134810710986,0.06397849462365592,0.06826347305389222,0.11413043478260869,0.12207357859531773,0.07926829268292683,0.06254709871891484,0.06604215456674473,,,,,,,,,,,
12,0.08473389355742297,0.06458923512747876,0.07189728958630527,0.05021332458155563,0.04799107142857143,0.05170821791320406,0.07634408602150537,0.07604790419161676,0.11166007905138339,0.07803790412486064,0.06029810298102981,0.06179351921627732,,,,,,,,,,,,
13,0.06489262371615313,0.062039660056657224,0.07275320970042796,0.05251066622907778,0.052455357142857144,0.06971375807940905,0.07258064516129033,0.07125748502994012,0.08646245059288538,0.056856187290969896,0.06233062330623306,,,,,,,,,,,,,
14,0.06909430438842204,0.06912181303116147,0.07788873038516406,0.0508697079094191,0.05431547619047619,0.07156048014773776,0.06182795698924731,0.053293413173652694,0.06669960474308301,0.05964325529542921,,,,,,,,,,,,,,
15,0.07282913165266107,0.06940509915014165,0.0724679029957204,0.05677715786019035,0.060267857142857144,0.06278855032317636,0.0521505376344086,0.05389221556886228,0.04891304347826087,,,,,,,,,,,,,,,
16,0.06605975723622783,0.06543909348441926,0.06875891583452211,0.06104364949130292,0.05505952380952381,0.03831948291782087,0.046236559139784944,0.053293413173652694,,,,,,,,,,,,,,,,
17,0.06162464985994398,0.06345609065155808,0.07446504992867332,0.052838857893009517,0.03869047619047619,0.0332409972299169,0.04032258064516129,,,,,,,,,,,,,,,,,
18,0.05952380952380952,0.06572237960339944,0.0667617689015692,0.032819166393173616,0.030877976190476192,0.03693444136657433,,,,,,,,,,,,,,,,,,
19,0.05648926237161531,0.07195467422096317,0.04650499286733238,0.04430587463078438,0.04017857142857143,,,,,,,,,,,,,,,,,,,
20,0.05228758169934641,0.0453257790368272,0.07018544935805991,0.04102395799146702,,,,,,,,,,,,,,,,,,,,
21,0.03431372549019608,0.058923512747875356,0.07189728958630527,,,,,,,,,,,,,,,,,,,,,
22,0.0676937441643324,0.06997167138810198,,,,,,,,,,,,,,,,,,,,,,
23,0.07026143790849673,,,,,,,,,,,,,,,,,,,,,,,
